,accuracy,precision,recall,f1
Decision Tree,0.7378903477643719,0.6842380136611507,0.7378903477643719,0.6947375715114285
Random Forest,0.7528832505322924,0.792292451024512,0.7528832505322924,0.705123166339944
XGBoost,0.7677430801987225,0.8265222207130575,0.7677430801987225,0.7274838699603026
SVM,0.721167494677076,0.6533088311246505,0.721167494677076,0.6719989245528326
